num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
325,10,10,10,87,10,0,97,1
326,1,1,1,96,1,0,97,1
327,1,1,1,96,1,0,97,1
328,2,2,2,95,2,0,97,1
329,1,1,1,96,1,0,97,1
330,5,5,5,92,5,0,97,1
331,1,1,1,96,1,0,97,1
332,1,1,1,96,1,0,97,1
333,2,2,2,95,2,0,97,1
334,1,1,1,96,1,0,97,1
335,8,8,8,89,8,0,97,1
336,2,2,2,95,2,0,97,1
337,1,1,1,96,1,0,97,1
338,1,1,1,96,1,0,97,1
339,2,2,2,95,2,0,97,1
340,1,1,1,96,1,0,97,1
341,2,2,2,95,2,0,97,1
342,3,3,3,94,3,0,97,1
343,78,78,78,19,78,0,97,1
344,8,8,8,89,8,0,97,1
345,1,1,1,96,1,0,97,1
346,1,1,1,96,1,0,97,1
347,12,12,12,85,12,0,97,1
348,2,2,2,95,2,0,97,1
349,1,1,1,96,1,0,97,1
350,1,1,1,96,1,0,97,1
351,1,1,1,96,1,0,97,1
352,2,2,2,95,2,0,97,1
353,1,1,1,96,1,0,97,1
354,1,1,1,96,1,0,97,1
355,1,1,1,96,1,0,97,1
356,2,2,2,95,2,0,97,1
357,2,2,2,95,2,0,97,1
358,1,1,1,96,1,0,97,1
359,1,1,1,96,1,0,97,1
360,2,2,2,95,2,0,97,1
361,1,1,1,96,1,0,97,1
362,1,1,1,96,1,0,97,1
363,1,1,1,96,1,0,97,1
364,3,3,2,95,1,1,97,2
365,5,5,5,92,5,0,97,1
366,2,2,2,95,2,0,97,1
367,1,1,1,96,1,0,97,1
368,1,1,1,96,1,0,97,1
369,1,1,1,96,1,0,97,1
370,2,2,2,95,2,0,97,1
371,1,1,1,96,1,0,97,1
372,53,53,53,44,53,0,97,1
373,1,1,1,96,1,0,97,1
374,2,2,2,95,2,0,97,1
375,2,2,2,95,2,0,97,1
376,1,1,1,96,1,0,97,1
377,97,97,97,0,97,0,97,1
378,1,1,1,96,1,0,97,1
379,1,1,1,96,1,0,97,1
380,1,1,1,96,1,0,97,1
381,2,2,2,95,2,0,97,1
382,38,38,38,59,38,0,97,1
383,1,1,1,96,1,0,97,1
384,23,23,23,74,23,0,97,1
385,2,2,2,95,2,0,97,1
386,1,1,1,96,1,0,97,1
387,5,5,5,92,5,0,97,1
388,2,2,2,95,2,0,97,1
389,28,28,28,69,28,0,97,1
390,1,1,1,96,1,0,97,1
391,1,1,1,96,1,0,97,1
392,1,1,1,96,1,0,97,1
393,1,1,1,96,1,0,97,1
394,3,3,3,94,3,0,97,1
395,155,155,78,19,23,55,97,4
396,1,1,1,96,1,0,97,1
397,3,3,3,94,3,0,97,1
398,2,2,2,95,2,0,97,1
399,1,1,1,96,1,0,97,1
400,1,1,1,96,1,0,97,1
401,2,2,2,95,2,0,97,1
402,2,2,2,95,2,0,97,1
403,4,4,4,93,4,0,97,1
404,3,3,3,94,3,0,97,1
405,2,2,2,95,2,0,97,1
406,3,3,3,94,3,0,97,1
407,1,1,1,96,1,0,97,1
408,1,1,1,96,1,0,97,1
409,2,2,2,95,2,0,97,1
410,1,1,1,96,1,0,97,1
411,1,1,1,96,1,0,97,1
412,2,2,2,95,2,0,97,1
413,2,2,2,95,2,0,97,1
414,2,2,2,95,2,0,97,1
415,86,86,86,11,86,0,97,1
416,1,1,1,96,1,0,97,1
417,1,1,1,96,1,0,97,1
418,2,2,2,95,2,0,97,1
419,48,48,48,49,48,0,97,1
420,1,1,1,96,1,0,97,1
421,2,2,2,95,2,0,97,1
422,2,2,2,95,2,0,97,1
423,2,2,2,95,2,0,97,1
424,2,2,2,95,2,0,97,1
425,1,1,1,96,1,0,97,1
426,1,1,1,96,1,0,97,1
427,1,1,1,96,1,0,97,1
428,1,1,1,96,1,0,97,1
429,1,1,1,96,1,0,97,1
430,2,2,2,95,2,0,97,1
431,1,1,1,96,1,0,97,1
432,19,19,19,78,19,0,97,1
433,1,1,1,96,1,0,97,1
434,1,1,1,96,1,0,97,1
435,1,1,1,96,1,0,97,1
436,20,20,18,79,16,2,97,2
437,1,1,1,96,1,0,97,1
438,1,1,1,96,1,0,97,1
439,2,2,2,95,2,0,97,1
440,2,2,2,95,2,0,97,1
441,1,1,1,96,1,0,97,1
442,1,1,1,96,1,0,97,1
443,1,1,1,96,1,0,97,1
444,1,1,1,96,1,0,97,1
445,1,1,1,96,1,0,97,1
446,1,1,1,96,1,0,97,1
447,1,1,1,96,1,0,97,1
448,1,1,1,96,1,0,97,1
449,2,2,2,95,2,0,97,1
450,2,2,2,95,2,0,97,1
451,1,1,1,96,1,0,97,1
452,21,21,21,76,21,0,97,1
453,97,97,97,0,97,0,97,1
454,97,97,97,0,97,0,97,1
455,55,55,55,42,55,0,97,1
456,92,92,92,5,92,0,97,1
457,97,97,97,0,97,0,97,1
458,97,97,97,0,97,0,97,1
459,96,96,96,1,96,0,97,1
460,97,97,97,0,97,0,97,1
461,9,9,9,88,9,0,97,1
462,11,11,11,86,11,0,97,1
463,97,97,97,0,97,0,97,1
464,96,96,96,1,96,0,97,1
465,97,97,97,0,97,0,97,1
466,97,97,97,0,97,0,97,1
467,97,97,97,0,97,0,97,1
468,25,25,25,72,25,0,97,1
469,97,97,97,0,97,0,97,1
470,97,97,97,0,97,0,97,1
471,97,97,97,0,97,0,97,1
472,42,42,42,55,42,0,97,1
473,89,89,89,8,89,0,97,1
474,97,97,97,0,97,0,97,1
475,97,97,97,0,97,0,97,1
476,97,97,97,0,97,0,97,1
477,97,97,97,0,97,0,97,1
478,97,97,97,0,97,0,97,1
479,97,97,97,0,97,0,97,1
480,97,97,97,0,97,0,97,1
481,11,11,11,86,11,0,97,1
482,90,90,90,7,90,0,97,1
483,24,24,24,73,24,0,97,1
484,96,96,96,1,96,0,97,1
485,97,97,97,0,97,0,97,1
486,97,97,97,0,97,0,97,1
487,97,97,96,1,95,1,97,2
488,97,97,97,0,97,0,97,1
489,97,97,97,0,97,0,97,1
490,97,97,97,0,97,0,97,1
491,9,9,9,88,9,0,97,1
492,26,26,24,73,22,2,97,2
493,97,97,97,0,97,0,97,1
494,82,82,82,15,82,0,97,1
495,92,92,92,5,92,0,97,1
496,97,97,97,0,97,0,97,1
497,19,19,19,78,19,0,97,1
498,17,17,17,80,17,0,97,1
499,7,7,7,90,7,0,97,1
500,23,23,23,74,23,0,97,1
501,97,97,97,0,97,0,97,1
502,96,96,96,1,96,0,97,1
503,97,97,97,0,97,0,97,1
504,97,97,97,0,97,0,97,1
505,48,48,48,49,48,0,97,1
506,96,96,96,1,96,0,97,1
507,97,97,97,0,97,0,97,1
508,97,97,97,0,97,0,97,1
509,97,97,97,0,97,0,97,1
510,96,96,96,1,96,0,97,1
511,97,97,97,0,97,0,97,1
512,89,89,89,8,89,0,97,1
513,97,97,97,0,97,0,97,1
514,97,97,97,0,97,0,97,1
515,97,97,97,0,97,0,97,1
516,8,8,8,89,8,0,97,1
517,45,45,45,52,45,0,97,1
518,9,9,9,88,9,0,97,1
519,38,38,38,59,38,0,97,1
520,7,7,7,90,7,0,97,1
521,20,20,20,77,20,0,97,1
522,97,97,97,0,97,0,97,1
523,25,25,25,72,25,0,97,1
524,27,27,27,70,27,0,97,1
525,96,96,96,1,96,0,97,1
526,66,66,65,32,64,1,97,2
527,1,1,1,96,1,0,97,1
528,10,10,10,87,10,0,97,1
529,68,68,68,29,68,0,97,1
530,29,29,29,68,29,0,97,1
531,96,96,96,1,96,0,97,1
532,95,95,95,2,95,0,97,1
533,77,77,77,20,77,0,97,1
534,6,6,6,91,6,0,97,1
535,14,14,14,83,14,0,97,1
536,100,100,75,22,50,25,97,2
537,65,65,65,32,65,0,97,1
538,17,17,17,80,17,0,97,1
539,10,10,10,87,10,0,97,1
540,63,63,63,34,63,0,97,1
541,8,8,8,89,8,0,97,1
542,97,97,97,0,97,0,97,1
543,97,97,97,0,97,0,97,1
544,7,7,7,90,7,0,97,1
545,13,13,13,84,13,0,97,1
546,97,97,97,0,97,0,97,1
547,16,16,16,81,16,0,97,1
548,35,35,35,62,35,0,97,1
549,16,16,16,81,16,0,97,1
550,12,12,12,85,12,0,97,1
551,25,25,25,72,25,0,97,1
552,25,25,25,72,25,0,97,1
553,97,97,97,0,97,0,97,1
554,43,43,42,55,41,1,97,2
555,97,97,97,0,97,0,97,1
556,52,52,52,45,52,0,97,1
557,4,4,4,93,4,0,97,1
558,9,9,9,88,9,0,97,1
559,97,97,97,0,97,0,97,1
560,1,1,1,96,1,0,97,1
561,36,36,36,61,36,0,97,1
562,3,3,3,94,3,0,97,1
563,17,17,17,80,17,0,97,1
564,7,7,7,90,7,0,97,1
565,8,8,8,89,8,0,97,1
566,15,15,15,82,15,0,97,1
567,13,13,13,84,13,0,97,1
568,96,96,96,1,96,0,97,1
569,11,11,11,86,11,0,97,1
570,6,6,6,91,6,0,97,1
571,36,36,36,61,36,0,97,1
572,7,7,7,90,7,0,97,1
573,29,29,29,68,29,0,97,1
574,15,15,15,82,15,0,97,1
575,16,16,16,81,16,0,97,1
576,6,6,6,91,6,0,97,1
577,33,33,33,64,33,0,97,1
578,8,8,8,89,8,0,97,1
579,1,1,1,96,1,0,97,1
580,30,30,30,67,30,0,97,1
581,22,22,22,75,22,0,97,1
582,4,4,4,93,4,0,97,1
583,1,1,1,96,1,0,97,1
584,97,97,97,0,97,0,97,1
585,25,25,25,72,25,0,97,1
586,7,7,7,90,7,0,97,1
587,7,7,7,90,7,0,97,1
588,3,3,3,94,3,0,97,1
589,11,11,11,86,11,0,97,1
590,1,1,1,96,1,0,97,1
591,3,3,3,94,3,0,97,1
592,4,4,4,93,4,0,97,1
593,3,3,3,94,3,0,97,1
594,5,5,5,92,5,0,97,1
595,4,4,4,93,4,0,97,1
596,3,3,3,94,3,0,97,1
597,1,1,1,96,1,0,97,1
598,1,1,1,96,1,0,97,1
599,1,1,1,96,1,0,97,1
600,9,9,9,88,9,0,97,1
601,3,3,3,94,3,0,97,1
602,3,3,3,94,3,0,97,1
603,6,6,6,91,6,0,97,1
604,1,1,1,96,1,0,97,1
605,1,1,1,96,1,0,97,1
606,5,5,5,92,5,0,97,1
607,1,1,1,96,1,0,97,1
608,1,1,1,96,1,0,97,1
609,1,1,1,96,1,0,97,1
610,13,13,12,85,11,1,97,2
611,4,4,4,93,4,0,97,1
612,2,2,2,95,2,0,97,1
613,11,11,11,86,11,0,97,1
614,3,3,3,94,3,0,97,1
615,1,1,1,96,1,0,97,1
616,1,1,1,96,1,0,97,1
617,1,1,1,96,1,0,97,1
618,2,2,2,95,2,0,97,1
619,1,1,1,96,1,0,97,1
620,1,1,1,96,1,0,97,1
621,96,96,96,1,96,0,97,1
622,1,1,1,96,1,0,97,1
